canonical_target,total_count,n_compounds,compounds
ANKRD37,1,1,caffeine
ANKRD50,1,1,caffeine
ANLN,1,1,caffeine
ANTXR1,1,1,caffeine
ANXA11,1,1,caffeine
ANXA2,1,1,caffeine
AP1M1,1,1,caffeine
APBA3,1,1,caffeine
APEH,1,1,caffeine
APEX1,1,1,caffeine
APOBEC3H,1,1,caffeine
APOC3,1,1,caffeine
APOL1,1,1,caffeine
APOM,1,1,caffeine
APS,1,1,caffeine
ARCN1,1,1,caffeine
ARFGAP1,1,1,caffeine
ARFGEF1,1,1,caffeine
ARFGEF2,1,1,caffeine
ARFIP2,1,1,caffeine
ARGLU1,1,1,caffeine
ARHGAP1,1,1,caffeine
ARHGAP12,1,1,caffeine
ARHGAP17,1,1,caffeine
ARHGAP26,1,1,caffeine
ARHGAP29,1,1,caffeine
ARHGAP35,1,1,caffeine
ARHGAP39,1,1,caffeine
ARHGAP45,1,1,caffeine
ARHGAP5,1,1,caffeine
ARHGDIA,1,1,caffeine
ARHGEF1,1,1,caffeine
ARHGEF10L,1,1,caffeine
ARHGEF16,1,1,caffeine
ARHGEF17,1,1,caffeine
ARHGEF26,1,1,caffeine
ARHGEF28,1,1,caffeine
ARHGEF5,1,1,caffeine
ARHGEF6,1,1,caffeine
ARID2,1,1,caffeine
ARID4B,1,1,caffeine
ARID5A,1,1,caffeine
ARL6IP1,1,1,caffeine
ARMC1,1,1,caffeine
ARPC1B,1,1,caffeine
ARRB1,1,1,caffeine
ASAP1,1,1,caffeine
ASAP2,1,1,caffeine
ASMTL,1,1,caffeine
ASNS,1,1,caffeine
ASPSCR1,1,1,caffeine
ASXL1,1,1,caffeine
ATAD2,1,1,caffeine
ATAD2B,1,1,caffeine
ATE1,1,1,caffeine
ATF7,1,1,caffeine
ATG2B,1,1,caffeine
ATG7,1,1,caffeine
ATIC,1,1,caffeine
ATL2,1,1,caffeine
ATN1,1,1,caffeine
ATP13A3,1,1,caffeine
ATP1A3,1,1,caffeine
ATP1B3,1,1,caffeine
ATP2A1L,1,1,caffeine
ATP2B1,1,1,caffeine
ATP6V0A2,1,1,caffeine
ATP6V1A,1,1,Ginsenoside rb1
ATPAF1,1,1,caffeine
ATRN,1,1,caffeine
ATXN2,1,1,caffeine
ATXN2L,1,1,caffeine
ATXN7,1,1,caffeine
ATXN7L3,1,1,caffeine
AUP1,1,1,caffeine
AVEN,1,1,caffeine
BACH1,1,1,caffeine
BAG3,1,1,caffeine
BAG4,1,1,caffeine
BAIAP2L1,1,1,caffeine
BAIAP2L2,1,1,caffeine
BASP1,1,1,caffeine
BAZ1B,1,1,caffeine
BAZ2A,1,1,caffeine
BBC3,1,1,caffeine
BBX,1,1,caffeine
BCAM,1,1,caffeine
BCAR3,1,1,caffeine
BCAS3,1,1,caffeine
BCL2,1,1,caffeine
BCL2A,1,1,caffeine
BCL3,1,1,caffeine
BCL7B,1,1,caffeine
BCL9,1,1,caffeine
BCL9L,1,1,caffeine
BCLAF1,1,1,caffeine
BCORL1,1,1,caffeine
BECN1,1,1,caffeine
BEND3,1,1,caffeine
BGLAP,1,1,caffeine
BICD2,1,1,caffeine
BID,1,1,caffeine
BIRC6,1,1,caffeine
BLM,1,1,caffeine
BLTP2,1,1,caffeine
BLTP3A,1,1,caffeine
BMP2,1,1,Ginsenoside rb1
BMP2K,1,1,caffeine
BNIP2,1,1,caffeine
BNIP3L,1,1,caffeine
BOLA1,1,1,caffeine
BOP1,1,1,caffeine
BORCS6,1,1,caffeine
BORCS7,1,1,caffeine
BPTF,1,1,caffeine
BRAP,1,1,caffeine
BRCA1,1,1,caffeine
BRCA2,1,1,caffeine
BRD1,1,1,caffeine
BRD2,1,1,caffeine
BRD7,1,1,caffeine
BRD8,1,1,caffeine
