compound,protein,normalized_target,is_gene,gene_symbol_mygene,score,notfound,canonical_target
caffeine,CPT1A,CPT1A,True,,,,CPT1A
caffeine,CPT1A,CPT1A,True,,,,CPT1A
caffeine,CREB1,CREB1,True,,,,CREB1
caffeine,CREB1,CREB1,True,,,,CREB1
caffeine,CREB1,CREB1,True,,,,CREB1
caffeine,CREB1,CREB1,True,,,,CREB1
caffeine,CREBBP,CREBBP,True,,,,CREBBP
caffeine,CREM,CREM,True,,,,CREM
caffeine,CRIP2,CRIP2,True,,,,CRIP2
caffeine,CRK,CRK,True,,,,CRK
caffeine,CRYBA4,CRYBA4,True,,,,CRYBA4
caffeine,CRYBB1,CRYBB1,True,,,,CRYBB1
caffeine,CSK,CSK,True,,,,CSK
caffeine,CSNK1D,CSNK1D,True,,,,CSNK1D
caffeine,CSNK1E,CSNK1E,True,,,,CSNK1E
caffeine,CSNK1G3,CSNK1G3,True,,,,CSNK1G3
caffeine,CSNK2A2,CSNK2A2,True,,,,CSNK2A2
caffeine,VCAN,VCAN,True,,,,VCAN
caffeine,CST3,CST3,True,,,,CST3
caffeine,CSTF1,CSTF1,True,,,,CSTF1
caffeine,CSTF2,CSTF2,True,,,,CSTF2
caffeine,CSTF3,CSTF3,True,,,,CSTF3
caffeine,CTH,CTH,True,,,,CTH
caffeine,CTNNA1,CTNNA1,True,,,,CTNNA1
caffeine,CTNNA2,CTNNA2,True,,,,CTNNA2
caffeine,CTNNB1,CTNNB1,True,,,,CTNNB1
caffeine,CTNNB1,CTNNB1,True,,,,CTNNB1
caffeine,CTNNB1,CTNNB1,True,,,,CTNNB1
caffeine,CTNND1,CTNND1,True,,,,CTNND1
caffeine,CTPS1,CTPS1,True,,,,CTPS1
caffeine,CTSB,CTSB,True,,,,CTSB
caffeine,CTSB,CTSB,True,,,,CTSB
caffeine,CTSD,CTSD,True,,,,CTSD
caffeine,CTSL,CTSL,True,,,,CTSL
caffeine,CUX1,CUX1,True,,,,CUX1
