compound,geneid,symbol,description,uniprot_accession,uniprot_accessions,cid
simvastatin,3558,IL2,interleukin 2,P60568,P60568;Q0GK43,54454
simvastatin,3559,IL2RA,interleukin 2 receptor subunit alpha,P01589,P01589;H0Y5Z0;Q5W005,54454
simvastatin,3565,IL4,interleukin 4,P05112,P05112;D4HNR6;Q5FC01;U3LVN1,54454
simvastatin,3566,IL4R,interleukin 4 receptor,P24394,P24394;B2RBY1,54454
simvastatin,3569,IL6,interleukin 6,P05231,P05231;B4DNQ5;B4DVM1;B5MC21;B5MCZ3;Q75MH2,54454
simvastatin,3576,CXCL8,C-X-C motif chemokine ligand 8,P10145,P10145;C9J4T6,54454
simvastatin,3579,CXCR2,C-X-C motif chemokine receptor 2,P25025,P25025;Q53PC4,54454
simvastatin,3586,IL10,interleukin 10,P22301,P22301;A0A286YEX3;Q6FGW4,54454
simvastatin,3593,IL12B,interleukin 12B,P29460,P29460,54454
simvastatin,3596,IL13,interleukin 13,P35225,P35225;Q4VB53,54454
simvastatin,3603,IL16,interleukin 16,Q14005,Q14005;A0A8C8KBU6;Q9UME6,54454
simvastatin,3605,IL17A,interleukin 17A,Q16552,Q16552,54454
simvastatin,3606,IL18,interleukin 18,Q14116,Q14116,54454
