pathway_id,total_count,n_compounds,compounds
1185348,1,1,Ethanolamine
1185349,1,1,Ethanolamine
1185352,1,1,Ethanolamine
1185353,1,1,Ethanolamine
1185356,1,1,Ethanolamine
1185357,1,1,Ethanolamine
1185360,1,1,Ethanolamine
1185361,1,1,Ethanolamine
1185364,1,1,Ethanolamine
1185365,1,1,Ethanolamine
1185368,1,1,Ethanolamine
1185369,1,1,Ethanolamine
1185372,1,1,Ethanolamine
1185373,1,1,Ethanolamine
1185376,1,1,Ethanolamine
1185377,1,1,Ethanolamine
1185380,1,1,Ethanolamine
1185381,1,1,Ethanolamine
1185384,1,1,Ethanolamine
1185385,1,1,Ethanolamine
1185388,1,1,Ethanolamine
1185389,1,1,Ethanolamine
1185392,1,1,Ethanolamine
1185393,1,1,Ethanolamine
1185396,1,1,Ethanolamine
1185397,1,1,Ethanolamine
1185400,1,1,Ethanolamine
1185401,1,1,Ethanolamine
1185404,1,1,Ethanolamine
1185405,1,1,Ethanolamine
1185408,1,1,Ethanolamine
1185409,1,1,Ethanolamine
1185412,1,1,Ethanolamine
1185413,1,1,Ethanolamine
1185416,1,1,Ethanolamine
1185417,1,1,Ethanolamine
1185420,1,1,Ethanolamine
1185421,1,1,Ethanolamine
1185424,1,1,Ethanolamine
1185425,1,1,Ethanolamine
1185428,1,1,Ethanolamine
1185429,1,1,Ethanolamine
1185432,1,1,Ethanolamine
1185433,1,1,Ethanolamine
1185436,1,1,Ethanolamine
1185437,1,1,Ethanolamine
1185440,1,1,Ethanolamine
1185441,1,1,Ethanolamine
1185444,1,1,Ethanolamine
1185445,1,1,Ethanolamine
1185448,1,1,Ethanolamine
1185449,1,1,Ethanolamine
1185452,1,1,Ethanolamine
1185453,1,1,Ethanolamine
1185456,1,1,Ethanolamine
1185457,1,1,Ethanolamine
1185460,1,1,Ethanolamine
1185461,1,1,Ethanolamine
1185464,1,1,Ethanolamine
1185465,1,1,Ethanolamine
1185468,1,1,Ethanolamine
1185469,1,1,Ethanolamine
1185472,1,1,Ethanolamine
1185473,1,1,Ethanolamine
1185476,1,1,Ethanolamine
1185477,1,1,Ethanolamine
1185480,1,1,Ethanolamine
1185481,1,1,Ethanolamine
1185484,1,1,Ethanolamine
1185485,1,1,Ethanolamine
1185488,1,1,Ethanolamine
1185489,1,1,Ethanolamine
1185492,1,1,Ethanolamine
1185493,1,1,Ethanolamine
1185496,1,1,Ethanolamine
1185497,1,1,Ethanolamine
1185500,1,1,Ethanolamine
1185501,1,1,Ethanolamine
1185504,1,1,Ethanolamine
1185505,1,1,Ethanolamine
1185508,1,1,Ethanolamine
1185509,1,1,Ethanolamine
1185512,1,1,Ethanolamine
1185513,1,1,Ethanolamine
1185516,1,1,Ethanolamine
1185517,1,1,Ethanolamine
1185520,1,1,Ethanolamine
1185521,1,1,Ethanolamine
1185524,1,1,Ethanolamine
1185525,1,1,Ethanolamine
1185528,1,1,Ethanolamine
1185529,1,1,Ethanolamine
1185532,1,1,Ethanolamine
1185533,1,1,Ethanolamine
1185536,1,1,Ethanolamine
1185537,1,1,Ethanolamine
1185540,1,1,Ethanolamine
1185541,1,1,Ethanolamine
1185544,1,1,Ethanolamine
1185545,1,1,Ethanolamine
1185548,1,1,Ethanolamine
1185549,1,1,Ethanolamine
1185552,1,1,Ethanolamine
1185553,1,1,Ethanolamine
1185556,1,1,Ethanolamine
1185557,1,1,Ethanolamine
1185560,1,1,Ethanolamine
1185561,1,1,Ethanolamine
1185564,1,1,Ethanolamine
1185565,1,1,Ethanolamine
1185568,1,1,Ethanolamine
1185569,1,1,Ethanolamine
1185572,1,1,Ethanolamine
1185573,1,1,Ethanolamine
1185576,1,1,Ethanolamine
1185577,1,1,Ethanolamine
1185580,1,1,Ethanolamine
1185581,1,1,Ethanolamine
1185584,1,1,Ethanolamine
1185585,1,1,Ethanolamine
1185588,1,1,Ethanolamine
1185589,1,1,Ethanolamine
1185592,1,1,Ethanolamine
1185593,1,1,Ethanolamine
1185596,1,1,Ethanolamine
1185597,1,1,Ethanolamine
1185600,1,1,Ethanolamine
1185601,1,1,Ethanolamine
1185604,1,1,Ethanolamine
1185605,1,1,Ethanolamine
1185608,1,1,Ethanolamine
1185609,1,1,Ethanolamine
1185612,1,1,Ethanolamine
1185613,1,1,Ethanolamine
1185616,1,1,Ethanolamine
1185617,1,1,Ethanolamine
1185620,1,1,Ethanolamine
1185621,1,1,Ethanolamine
1185624,1,1,Ethanolamine
1185625,1,1,Ethanolamine
1185628,1,1,Ethanolamine
1185629,1,1,Ethanolamine
1185632,1,1,Ethanolamine
1185633,1,1,Ethanolamine
1185636,1,1,Ethanolamine
1185637,1,1,Ethanolamine
1185640,1,1,Ethanolamine
1185641,1,1,Ethanolamine
1185644,1,1,Ethanolamine
1185645,1,1,Ethanolamine
1185648,1,1,Ethanolamine
1185649,1,1,Ethanolamine
1185652,1,1,Ethanolamine
1185653,1,1,Ethanolamine
1185656,1,1,Ethanolamine
1185657,1,1,Ethanolamine
1185660,1,1,Ethanolamine
1185661,1,1,Ethanolamine
1185664,1,1,Ethanolamine
1185665,1,1,Ethanolamine
1185668,1,1,Ethanolamine
1185669,1,1,Ethanolamine
1185672,1,1,Ethanolamine
1185673,1,1,Ethanolamine
1185676,1,1,Ethanolamine
1185677,1,1,Ethanolamine
1185680,1,1,Ethanolamine
1185681,1,1,Ethanolamine
1185684,1,1,Ethanolamine
1185685,1,1,Ethanolamine
1185688,1,1,Ethanolamine
1185689,1,1,Ethanolamine
1185692,1,1,Ethanolamine
1185693,1,1,Ethanolamine
1185696,1,1,Ethanolamine
1185697,1,1,Ethanolamine
1185700,1,1,Ethanolamine
1185701,1,1,Ethanolamine
1185704,1,1,Ethanolamine
1185705,1,1,Ethanolamine
1185708,1,1,Ethanolamine
1185709,1,1,Ethanolamine
1185712,1,1,Ethanolamine
1185713,1,1,Ethanolamine
1185716,1,1,Ethanolamine
1185717,1,1,Ethanolamine
1185720,1,1,Ethanolamine
1185721,1,1,Ethanolamine
1185724,1,1,Ethanolamine
1185725,1,1,Ethanolamine
1185728,1,1,Ethanolamine
1185729,1,1,Ethanolamine
1185732,1,1,Ethanolamine
1185733,1,1,Ethanolamine
1185736,1,1,Ethanolamine
1185737,1,1,Ethanolamine
1185740,1,1,Ethanolamine
1185741,1,1,Ethanolamine
1185744,1,1,Ethanolamine
1185745,1,1,Ethanolamine
1185748,1,1,Ethanolamine
1185749,1,1,Ethanolamine
1185752,1,1,Ethanolamine
1185753,1,1,Ethanolamine
1185756,1,1,Ethanolamine
1185757,1,1,Ethanolamine
1185760,1,1,Ethanolamine
1185761,1,1,Ethanolamine
1185764,1,1,Ethanolamine
1185765,1,1,Ethanolamine
1185768,1,1,Ethanolamine
1185769,1,1,Ethanolamine
1185772,1,1,Ethanolamine
1185773,1,1,Ethanolamine
1185776,1,1,Ethanolamine
