compound,geneid,symbol,description,uniprot_accession,uniprot_accessions,cid
caffeine,80304,WDCP,WD repeat and coiled coil containing,Q9H6R7,Q9H6R7,2519
caffeine,9564,BCAR1,"BCAR1 scaffold protein, Cas family member",P56945,P56945;B3KWE2,2519
caffeine,83596,BCL2L12,BCL2 like 12,Q9HB09,Q9HB09;A0A0X8ASA9;A0A0X8AT42;A0A0X8AXX1;I6LJZ5;I6LJZ6;I6LJZ7;I6LJZ8;I6LJZ9;M0R1K0,2519
caffeine,9274,BCL7C,BAF chromatin remodeling complex subunit BCL7C,Q8WUZ0,Q8WUZ0;I3L1Q2,2519
caffeine,85416,ZIC5,Zic family zinc finger 5,Q96T25,Q96T25,2519
caffeine,7750,ZMYM2,zinc finger MYM-type containing 2,Q9UBW7,Q9UBW7;A8K126,2519
caffeine,64397,ZNF106,zinc finger protein 106,Q9H2Y7,Q9H2Y7;A0A0C4DGM5;H3BSS6,2519
caffeine,23607,CD2AP,CD2 associated protein,Q9Y5K6,Q9Y5K6,2519
caffeine,7755,ZNF205,zinc finger protein 205,O95201,O95201,2519
caffeine,58500,ZNF250,zinc finger protein 250,P15622,P15622;B3KNS9,2519
caffeine,23528,ZNF281,zinc finger protein 281,Q9Y2X9,Q9Y2X9;B3KMX4,2519
caffeine,91833,WDR20,WD repeat domain 20,Q8TBZ3,Q8TBZ3;A0A088AWN2;B3KPG5;Q5JPH5,2519
caffeine,54521,WDR44,WD repeat domain 44,Q5JSH3,Q5JSH3,2519
caffeine,23335,WDR7,WD repeat domain 7,Q9Y4E6,Q9Y4E6,2519
caffeine,256643,BCLAF3,BCLAF1 and THRAP3 family member 3,A2AJT9,A2AJT9,2519
caffeine,8678,BECN1,beclin 1,Q14457,Q14457;A0A024R1X5;B4DQ36;E7EV84;W0FFG4,2519
caffeine,23506,BICRAL,BICRA like chromatin remodeling complex associated protein,Q6AI39,Q6AI39,2519
caffeine,84271,POLDIP3,DNA polymerase delta interacting protein 3,Q9BY77,Q9BY77;B4E0L0;F6VRR5,2519
caffeine,25885,POLR1A,RNA polymerase I subunit A,O95602,O95602,2519
caffeine,9883,POM121,POM121 transmembrane nucleoporin,Q96HA1,Q96HA1,2519
caffeine,57643,ZSWIM5,zinc finger SWIM-type containing 5,Q9P217,Q9P217,2519
caffeine,5447,POR,cytochrome p450 oxidoreductase,P16435,P16435;A0A9L9PY49,2519
caffeine,5451,POU2F1,POU class 2 homeobox 1,P14859,P14859;A0A8A2IE78,2519
caffeine,728945,PPIAL4F,peptidylprolyl isomerase A like 4F,P0DN26,P0DN26,2519
caffeine,85313,PPIL4,peptidylprolyl isomerase like 4,Q8WUA2,Q8WUA2,2519
caffeine,9647,PPM1F,"protein phosphatase, Mg2+/Mn2+ dependent 1F",P49593,P49593;B5MCT7,2519
caffeine,5500,PPP1CB,protein phosphatase 1 catalytic subunit beta,P62140,P62140;V9HW04,2519
caffeine,54776,PPP1R12C,protein phosphatase 1 regulatory subunit 12C,Q9BZL4,Q9BZL4,2519
caffeine,170954,PPP1R18,protein phosphatase 1 regulatory subunit 18,Q6NYC8,Q6NYC8;A0A024RCJ8;A0A0G2JHC2,2519
caffeine,29316,ADORA2B,adenosine A2B receptor,P29276,P29276;A6HF93;F7EVK1,2519
caffeine,648791,PPP1R3G,protein phosphatase 1 regulatory subunit 3G,B7ZBB8,B7ZBB8,2519
caffeine,5528,PPP2R5D,protein phosphatase 2 regulatory subunit B'delta,Q14738,Q14738,2519
caffeine,55671,PPP4R3A,protein phosphatase 4 regulatory subunit 3A,Q6IN85,Q6IN85;Q8N6W1,2519
caffeine,4163,MCC,MCC regulator of Wnt signaling pathway,P23508,P23508,2519
caffeine,4171,MCM2,minichromosome maintenance complex component 2,P49736,P49736,2519
caffeine,254394,MCM9,minichromosome maintenance 9 homologous recombination repair factor,Q9NXL9,Q9NXL9;A0A0S2Z662,2519
caffeine,55125,CEP192,centrosomal protein 192,Q8TEP8,Q8TEP8,2519
caffeine,11116,CEP43,centrosomal protein 43,O95684,O95684;A0A087WV25;B4DH64,2519
caffeine,90799,CEP95,centrosomal protein 95,Q96GE4,Q96GE4,2519
caffeine,10445,MCRS1,microspherule protein 1,Q96EZ8,Q96EZ8,2519
caffeine,4193,MDM2,MDM2 proto-oncogene,Q00987,Q00987;A0A0A8KB75;A7UKX7;A7UKX8;A7UKX9;G3XA89;Q96DS0,2519
caffeine,9969,MED13,mediator complex subunit 13,Q9UHV7,Q9UHV7,2519
caffeine,144535,CFAP54,cilia and flagella associated protein 54,Q96N23,Q96N23,2519
caffeine,57530,CGN,cingulin,Q9P2M7,Q9P2M7,2519
caffeine,283489,CHAMP1,chromosome alignment maintaining phosphoprotein 1,Q96JM3,Q96JM3,2519
caffeine,219541,MED19,mediator complex subunit 19,A0JLT2,A0JLT2;J3KR33,2519
caffeine,9833,MELK,maternal embryonic leucine zipper kinase,Q14680,Q14680;B7Z1G6,2519
caffeine,4233,MET,"MET proto-oncogene, receptor tyrosine kinase",P08581,P08581;B4DLF5;E6Y365,2519
caffeine,23082,PPRC1,PPARG related coactivator 1,Q5VV67,Q5VV67;E7EVG6,2519
caffeine,7799,PRDM2,PR/SET domain 2,Q13029,Q13029,2519
caffeine,51012,PRELID3B,PRELI domain containing 3B,Q9Y3B1,Q9Y3B1,2519
caffeine,6469,SHH,sonic hedgehog signaling molecule,Q15465,Q15465,2519
caffeine,23031,MAST3,microtubule associated serine/threonine kinase 3,O60307,O60307;A0A8I5KST9;A0A8V8TLL8;A0A8V8TMW0,2519
caffeine,57506,MAVS,mitochondrial antiviral signaling protein,Q7Z434,Q7Z434,2519
caffeine,8930,MBD4,"methyl-CpG binding domain 4, DNA glycosylase",O95243,O95243,2519
caffeine,79172,CENPO,centromere protein O,Q9BU64,Q9BU64,2519
caffeine,22994,CEP131,centrosomal protein 131,Q9UPN4,Q9UPN4;I3L2J8,2519
caffeine,7867,MAPKAPK3,MAPK activated protein kinase 3,Q16644,Q16644,2519
caffeine,4140,MARK3,microtubule affinity regulating kinase 3,P27448,P27448;A0A7I2V2E3;A0A7I2V2N8;A0A7I2V3B9;A0A7I2V5G3;A0A7I2V639;A0A7I2YQF7;H0YNV4;Q86U11,2519
caffeine,55602,CDKN2AIP,CDKN2A interacting protein,Q9NXV6,Q9NXV6;B3KTW3;J3KNE1,2519
caffeine,9425,CDYL,chromodomain Y like,Q9Y232,Q9Y232,2519
caffeine,5580,PRKCD,protein kinase C delta,Q05655,Q05655;B4DFV1,2519
caffeine,56339,METTL3,"methyltransferase 3, N6-adenosine-methyltransferase complex catalytic subunit",Q86U44,Q86U44,2519
caffeine,56947,MFF,mitochondrial fission factor,Q9GZY8,Q9GZY8;A0A0A0MS29;A0A9H3ZVE5;A0A9L9PY92;H7C433,2519
caffeine,92667,MGME1,mitochondrial genome maintenance exonuclease 1,Q9BQP7,Q9BQP7;Q5QPE7;Q5QPE8,2519
caffeine,8842,PROM1,prominin 1,O43490,O43490;A0A0A0N0M1,2519
caffeine,5629,PROX1,prospero homeobox 1,Q92786,Q92786,2519
caffeine,84310,CHLSN,cholesin,Q9BRJ6,Q9BRJ6,2519
caffeine,91782,CHMP7,charged multivesicular body protein 7,Q8WUX9,Q8WUX9;B3KMN6;B3KRZ9;B3KUH0,2519
caffeine,100507436,MICA,MHC class I polypeptide-related sequence A,Q29983,Q29983;A0A024RCL3;A0A0G2JJ55;Q96QC4,2519
caffeine,4277,MICB,MHC class I polypeptide-related sequence B,Q29980,Q29980;A0A0G2JHB5;A0A7D9H7X8;B4DUT9;B7Z8M1;F5H7Q8,2519
caffeine,4282,MIF,macrophage migration inhibitory factor,P14174,P14174;I4AY87,2519
caffeine,54629,MINDY2,MINDY lysine 48 deubiquitinase 2,Q8NBR6,Q8NBR6,2519
caffeine,26973,CHORDC1,cysteine and histidine rich domain containing 1,Q9UHD1,Q9UHD1;E9PPQ5,2519
caffeine,26586,CKAP2,cytoskeleton associated protein 2,Q8WWK9,Q8WWK9,2519
caffeine,23155,CLCC1,chloride channel CLIC like 1,Q96S66,Q96S66;A0A6Q8PG14,2519
caffeine,8559,PRPF18,pre-mRNA processing factor 18,Q99633,Q99633,2519
caffeine,25766,PRPF40B,pre-mRNA processing factor 40B,Q6NWY9,Q6NWY9;A0A8Z5ADK7;F8VU11,2519
caffeine,5636,PRPSAP2,phosphoribosyl pyrophosphate synthetase associated protein 2,O60256,O60256,2519
caffeine,166785,MMAA,metabolism of cobalamin associated A,Q8IVH4,Q8IVH4,2519
caffeine,55034,MOCOS,molybdenum cofactor sulfurase,Q96EN8,Q96EN8,2519
caffeine,22880,MORC2,MORC family CW-type zinc finger 2,Q9Y6X9,Q9Y6X9,2519
